Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module fft_minimal_tb.dut.tw_rom.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.

=================================================
TEST: DC Signal (Input 0.5)
=================================================

=== ALL FFT OUTPUT BINS ===
Bin | Mag(Approx) | Mag(Exact) | Error% | Real     | Imag     | Hex(Re)  | Hex(Im)
 70 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 71 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 72 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 73 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 74 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 75 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 76 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 77 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 78 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 79 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 80 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 81 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 82 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 83 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 84 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 85 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 86 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 87 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 88 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 89 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 90 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 91 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 92 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 93 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 94 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 95 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 96 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 97 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 98 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 99 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
100 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
101 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
102 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
103 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
104 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
105 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
106 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
107 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
108 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
109 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
110 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
111 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
112 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
113 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
114 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
115 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
116 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
117 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
118 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
119 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
120 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
121 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
122 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
123 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
124 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
125 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
126 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
127 |         255 |     255.00 |   0.00 |      255 |        0 | 00ff | 0000          
128 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
129 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
130 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
131 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
132 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
133 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
134 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
135 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
136 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
137 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
138 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
139 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
140 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
141 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
142 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
143 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
144 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
145 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
146 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
147 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
148 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
149 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
150 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
151 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
152 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
153 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
154 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
155 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
156 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
157 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
158 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
159 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
160 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
161 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
162 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
163 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
164 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
165 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
166 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
167 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
168 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
169 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
170 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
171 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
172 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
173 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
174 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
175 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
176 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
177 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
178 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
179 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
180 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
181 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
182 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
183 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
184 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
185 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
186 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
187 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
188 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
189 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
190 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
191 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
192 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
193 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
194 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
195 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
196 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
197 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
198 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
199 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
200 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
201 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
202 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
203 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
204 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
205 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
206 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
207 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
208 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
209 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
210 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
211 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
212 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
213 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
214 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
215 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
216 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
217 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
218 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
219 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
220 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
221 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
222 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
223 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
224 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
225 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
226 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
227 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
228 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
229 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
230 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
231 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
232 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
233 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
234 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
235 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
236 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
237 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
238 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
239 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
240 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
241 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
242 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
243 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
244 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
245 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
246 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
247 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
248 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
249 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
250 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
251 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
252 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
253 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
254 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
255 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          

=== SUMMARY ===
Peak Bin:         127
Peak Magnitude (Approx):         255
Peak Magnitude (Exact): 0.00
Average Approximation Error: 0.00%

=================================================
TEST: Cosine Wave (k=5)
=================================================

=== ALL FFT OUTPUT BINS ===
Bin | Mag(Approx) | Mag(Exact) | Error% | Real     | Imag     | Hex(Re)  | Hex(Im)
----|-------------|------------|--------|----------|----------|----------|----------
  0 |         128 |     128.00 |   0.00 |     -128 |        0 | ff80 | 0000          
  1 |         135 |     129.55 |   4.20 |     -128 |      -20 | ff80 | ffec          
  2 |         129 |     128.19 |   0.63 |     -128 |       -7 | ff80 | fff9          
  3 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
  4 |         132 |     128.66 |   2.60 |     -128 |      -13 | ff80 | fff3          
  5 |        8078 |    8066.06 |   0.15 |     8066 |      -32 | 1f82 | ffe0  <-- PEAK
  6 |         133 |     128.41 |   3.57 |     -127 |      -19 | ff81 | ffed          
  7 |           1 |       1.41 |  29.29 |       -1 |       -1 | ffff | ffff          
  8 |         134 |     127.48 |   5.12 |     -125 |      -25 | ff83 | ffe7          
  9 |         138 |     129.69 |   6.41 |     -122 |      -44 | ff86 | ffd4          
 10 |         134 |     127.82 |   4.84 |     -124 |      -31 | ff84 | ffe1          
 11 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 12 |         136 |     128.44 |   5.88 |     -123 |      -37 | ff85 | ffdb          
 13 |         136 |     129.28 |   5.20 |     -117 |      -55 | ff8b | ffc9          
 14 |         136 |     128.41 |   5.91 |     -121 |      -43 | ff87 | ffd5          
 15 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 16 |         136 |     127.77 |   6.44 |     -118 |      -49 | ff8a | ffcf          
 17 |         135 |     129.14 |   4.54 |     -111 |      -66 | ff91 | ffbe          
 18 |         134 |     127.05 |   5.47 |     -115 |      -54 | ff8d | ffca          
 19 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 20 |         135 |     127.94 |   5.52 |     -113 |      -60 | ff8f | ffc4          
 21 |         132 |     129.40 |   2.01 |     -104 |      -77 | ff98 | ffb3          
 22 |         134 |     127.77 |   4.88 |     -110 |      -65 | ff92 | ffbf          
 23 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 24 |         131 |     127.58 |   2.68 |     -106 |      -71 | ff96 | ffb9          
 25 |         127 |     128.89 |   1.46 |      -96 |      -86 | ffa0 | ffaa          
 26 |         131 |     128.00 |   2.34 |     -103 |      -76 | ff99 | ffb4          
 27 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 28 |         129 |     127.91 |   0.85 |      -99 |      -81 | ff9d | ffaf          
 29 |         126 |     128.82 |   2.19 |      -87 |      -95 | ffa9 | ffa1          
 30 |         126 |     128.14 |   1.67 |      -95 |      -86 | ffa1 | ffaa          
 31 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 32 |         123 |     127.28 |   3.36 |      -90 |      -90 | ffa6 | ffa6          
 33 |         131 |     128.60 |   1.87 |      -77 |     -103 | ffb3 | ff99          
 34 |         125 |     127.40 |   1.89 |      -86 |      -94 | ffaa | ffa2          
 35 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 36 |         128 |     127.14 |   0.68 |      -81 |      -98 | ffaf | ff9e          
 37 |         135 |     129.65 |   4.12 |      -67 |     -111 | ffbd | ff91          
 38 |         130 |     127.20 |   2.20 |      -76 |     -102 | ffb4 | ff9a          
 39 |           1 |       1.41 |  29.29 |       -1 |       -1 | ffff | ffff          
 40 |         131 |     127.58 |   2.68 |      -71 |     -106 | ffb9 | ff96          
 41 |         137 |     128.81 |   6.36 |      -56 |     -116 | ffc8 | ff8c          
 42 |         133 |     126.91 |   4.80 |      -65 |     -109 | ffbf | ff93          
 43 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 44 |         134 |     127.53 |   5.07 |      -61 |     -112 | ffc3 | ff90          
 45 |         137 |     128.75 |   6.41 |      -44 |     -121 | ffd4 | ff87          
 46 |         134 |     127.05 |   5.47 |      -54 |     -115 | ffca | ff8d          
 47 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 48 |         135 |     126.85 |   6.43 |      -49 |     -117 | ffcf | ff8b          
 49 |         136 |     128.06 |   6.20 |      -32 |     -124 | ffe0 | ff84          
 50 |         135 |     127.47 |   5.91 |      -43 |     -120 | ffd5 | ff88          
 51 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 52 |         135 |     127.49 |   5.89 |      -37 |     -122 | ffdb | ff86          
 53 |         134 |     128.57 |   4.23 |      -20 |     -127 | ffec | ff81          
 54 |         133 |     126.85 |   4.85 |      -31 |     -123 | ffe1 | ff85          
 55 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 56 |         133 |     126.50 |   5.14 |      -25 |     -124 | ffe7 | ff84          
 57 |         129 |     128.14 |   0.67 |       -6 |     -128 | fffa | ff80          
 58 |         132 |     127.42 |   3.59 |      -19 |     -126 | ffed | ff82          
 59 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 60 |         131 |     127.66 |   2.61 |      -13 |     -127 | fff3 | ff81          
 61 |         129 |     128.14 |   0.67 |        6 |     -128 | 0006 | ff80          
 62 |         128 |     127.19 |   0.63 |       -7 |     -127 | fff9 | ff81          
 63 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 64 |         127 |     127.00 |   0.00 |        0 |     -127 | 0000 | ff81          
 65 |         133 |     128.27 |   3.69 |       18 |     -127 | 0012 | ff81          
 66 |         128 |     127.14 |   0.68 |        6 |     -127 | 0006 | ff81          
 67 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 68 |         131 |     127.57 |   2.69 |       12 |     -127 | 000c | ff81          
 69 |         135 |     128.79 |   4.82 |       31 |     -125 | 001f | ff83          
 70 |         132 |     127.42 |   3.59 |       19 |     -126 | 0013 | ff82          
 71 |           1 |       1.00 |   0.00 |        0 |       -1 | 0000 | ffff          
 72 |         133 |     126.30 |   5.30 |       24 |     -124 | 0018 | ff84          
 73 |         136 |     128.08 |   6.18 |       42 |     -121 | 002a | ff87          
 74 |         133 |     126.85 |   4.85 |       31 |     -123 | 001f | ff85          
 75 |           1 |       1.00 |   0.00 |        0 |       -1 | 0000 | ffff          
 76 |         135 |     127.49 |   5.89 |       37 |     -122 | 0025 | ff86          
 77 |         135 |     127.95 |   5.51 |       54 |     -116 | 0036 | ff8c          
 78 |         135 |     127.47 |   5.91 |       43 |     -120 | 002b | ff88          
 79 |           1 |       1.41 |  29.29 |       -1 |       -1 | ffff | ffff          
 80 |         135 |     126.46 |   6.75 |       48 |     -117 | 0030 | ff8b          
 81 |         134 |     128.28 |   4.46 |       66 |     -110 | 0042 | ff92          
 82 |         134 |     127.05 |   5.47 |       54 |     -115 | 0036 | ff8d          
 83 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 84 |         134 |     127.06 |   5.46 |       60 |     -112 | 003c | ff90          
 85 |         130 |     127.41 |   2.03 |       75 |     -103 | 004b | ff99          
 86 |         133 |     126.91 |   4.80 |       65 |     -109 | 0041 | ff93          
 87 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 88 |         131 |     127.03 |   3.13 |       70 |     -106 | 0046 | ff96          
 89 |         126 |     127.48 |   1.16 |       85 |      -95 | 0055 | ffa1          
 90 |         129 |     126.61 |   1.89 |       75 |     -102 | 004b | ff9a          
 91 |           1 |       1.41 |  29.29 |       -1 |       -1 | ffff | ffff          
 92 |         128 |     126.51 |   1.18 |       80 |      -98 | 0050 | ff9e          
 93 |         125 |     127.40 |   1.89 |       94 |      -86 | 005e | ffaa          
 94 |         125 |     126.73 |   1.37 |       85 |      -94 | 0055 | ffa2          
 95 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
 96 |         123 |     127.28 |   3.36 |       90 |      -90 | 005a | ffa6          
 97 |         131 |     128.00 |   2.34 |      103 |      -76 | 0067 | ffb4          
 98 |         125 |     127.40 |   1.89 |       94 |      -86 | 005e | ffaa          
 99 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
100 |         128 |     127.14 |   0.68 |       98 |      -81 | 0062 | ffaf          
101 |         133 |     127.42 |   4.38 |      109 |      -66 | 006d | ffbe          
102 |         130 |     127.20 |   2.20 |      102 |      -76 | 0066 | ffb4          
103 |           1 |       1.00 |   0.00 |        0 |       -1 | 0000 | ffff          
104 |         130 |     126.75 |   2.56 |      105 |      -71 | 0069 | ffb9          
105 |         134 |     127.05 |   5.47 |      115 |      -54 | 0073 | ffca          
106 |         133 |     127.42 |   4.38 |      109 |      -66 | 006d | ffbe          
107 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
108 |         133 |     126.66 |   5.01 |      111 |      -61 | 006f | ffc3          
109 |         136 |     127.81 |   6.41 |      120 |      -44 | 0078 | ffd4          
110 |         133 |     126.57 |   5.08 |      114 |      -55 | 0072 | ffc9          
111 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
112 |         135 |     126.46 |   6.75 |      117 |      -48 | 0075 | ffd0          
113 |         134 |     127.82 |   4.84 |      124 |      -31 | 007c | ffe1          
114 |         134 |     126.53 |   5.90 |      119 |      -43 | 0077 | ffd5          
115 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
116 |         135 |     127.49 |   5.89 |      122 |      -37 | 007a | ffdb          
117 |         132 |     127.42 |   3.59 |      126 |      -19 | 007e | ffed          
118 |         133 |     126.85 |   4.85 |      123 |      -31 | 007b | ffe1          
119 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
120 |         133 |     126.50 |   5.14 |      124 |      -25 | 007c | ffe7          
121 |         128 |     127.14 |   0.68 |      127 |       -6 | 007f | fffa          
122 |         132 |     127.42 |   3.59 |      126 |      -19 | 007e | ffed          
123 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
124 |         130 |     126.67 |   2.63 |      126 |      -13 | 007e | fff3          
125 |         128 |     127.14 |   0.68 |      127 |        6 | 007f | 0006          
126 |         128 |     127.19 |   0.63 |      127 |       -7 | 007f | fff9          
127 |           1 |       1.41 |  29.29 |       -1 |       -1 | ffff | ffff          
128 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
129 |         133 |     128.41 |   3.57 |      127 |       19 | 007f | 0013          
130 |         128 |     127.14 |   0.68 |      127 |        6 | 007f | 0006          
131 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
132 |         130 |     126.57 |   2.71 |      126 |       12 | 007e | 000c          
133 |         134 |     127.82 |   4.84 |      124 |       31 | 007c | 001f          
134 |         131 |     126.29 |   3.73 |      125 |       18 | 007d | 0012          
135 |           1 |       1.00 |   0.00 |        0 |       -1 | 0000 | ffff          
136 |         133 |     126.30 |   5.30 |      124 |       24 | 007c | 0018          
137 |         135 |     127.47 |   5.91 |      120 |       43 | 0078 | 002b          
138 |         133 |     126.85 |   4.85 |      123 |       31 | 007b | 001f          
139 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
140 |         134 |     126.24 |   6.15 |      121 |       36 | 0079 | 0024          
141 |         135 |     127.95 |   5.51 |      116 |       54 | 0074 | 0036          
142 |         134 |     126.19 |   6.19 |      119 |       42 | 0077 | 002a          
143 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
144 |         135 |     126.46 |   6.75 |      117 |       48 | 0075 | 0030          
145 |         133 |     127.42 |   4.38 |      109 |       66 | 006d | 0042          
146 |         133 |     126.14 |   5.44 |      114 |       54 | 0072 | 0036          
147 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
148 |         134 |     127.06 |   5.46 |      112 |       60 | 0070 | 003c          
149 |         131 |     128.00 |   2.34 |      103 |       76 | 0067 | 004c          
150 |         133 |     126.91 |   4.80 |      109 |       65 | 006d | 0041          
151 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
152 |         130 |     126.75 |   2.56 |      105 |       71 | 0069 | 0047          
153 |         126 |     128.14 |   1.67 |       95 |       86 | 005f | 0056          
154 |         128 |     125.80 |   1.75 |      101 |       75 | 0065 | 004b          
155 |           1 |       1.00 |   0.00 |       -1 |        0 | ffff | 0000          
156 |         128 |     126.51 |   1.18 |       98 |       80 | 0062 | 0050          
157 |         125 |     127.40 |   1.89 |       86 |       94 | 0056 | 005e          
158 |         124 |     125.99 |   1.58 |       93 |       85 | 005d | 0055          
159 |           1 |       1.00 |   0.00 |        0 |       -1 | 0000 | ffff          
160 |         123 |     127.28 |   3.36 |       90 |       90 | 005a | 005a          
161 |         131 |     128.60 |   1.87 |       77 |      103 | 004d | 0067          
162 |         125 |     126.73 |   1.37 |       85 |       94 | 0055 | 005e          
163 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
164 |         128 |     127.14 |   0.68 |       81 |       98 | 0051 | 0062          
165 |         133 |     126.91 |   4.80 |       65 |      109 | 0041 | 006d          
166 |         129 |     126.40 |   2.06 |       76 |      101 | 004c | 0065          
167 |           1 |       1.41 |  29.29 |       -1 |       -1 | ffff | ffff          
168 |         130 |     126.75 |   2.56 |       71 |      105 | 0047 | 0069          
169 |         134 |     127.48 |   5.12 |       55 |      115 | 0037 | 0073          
170 |         133 |     126.91 |   4.80 |       65 |      109 | 0041 | 006d          
171 |           1 |       1.41 |  29.29 |       -1 |       -1 | ffff | ffff          
172 |         134 |     127.06 |   5.46 |       60 |      112 | 003c | 0070          
173 |         134 |     126.53 |   5.90 |       43 |      119 | 002b | 0077          
174 |         133 |     126.14 |   5.44 |       54 |      114 | 0036 | 0072          
175 |           1 |       1.00 |   0.00 |        0 |       -1 | 0000 | ffff          
176 |         135 |     126.85 |   6.43 |       49 |      117 | 0031 | 0075          
