Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module fft_minimal_tb.dut.tw_rom.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.

=================================================
TEST: DC Signal (Input 0.5)
=================================================

=== ALL FFT OUTPUT BINS ===
Bin | Mag(Approx) | Mag(Exact) | Error% | Real     | Imag     | Hex(Re)  | Hex(Im)
 76 |         271 |     255.27 |   6.16 |      -75 |      244 | ffb5 | 00f4          
 77 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 78 |         272 |     256.22 |   6.16 |      -87 |      241 | ffa9 | 00f1          
 79 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 80 |         272 |     255.92 |   6.28 |      -99 |      236 | ff9d | 00ec          
 81 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 82 |         271 |     255.85 |   5.92 |     -110 |      231 | ff92 | 00e7          
 83 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 84 |         271 |     256.35 |   5.71 |     -121 |      226 | ff87 | 00e2          
 85 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 86 |         268 |     255.70 |   4.81 |     -132 |      219 | ff7c | 00db          
 87 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 88 |         265 |     256.55 |   3.29 |     -143 |      213 | ff71 | 00d5          
 89 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 90 |         262 |     255.80 |   2.42 |     -153 |      205 | ff67 | 00cd          
 91 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 92 |         258 |     256.46 |   0.60 |     -163 |      198 | ff5d | 00c6          
 93 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 94 |         254 |     256.29 |   0.89 |     -172 |      190 | ff54 | 00be          
 95 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 96 |         248 |     255.97 |   3.11 |     -181 |      181 | ff4b | 00b5          
 97 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 98 |         254 |     256.29 |   0.89 |     -190 |      172 | ff42 | 00ac          
 99 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
100 |         258 |     255.83 |   0.85 |     -198 |      162 | ff3a | 00a2          
101 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
102 |         263 |     256.01 |   2.73 |     -206 |      152 | ff32 | 0098          
103 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
104 |         265 |     255.99 |   3.52 |     -213 |      142 | ff2b | 008e          
105 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
106 |         269 |     256.56 |   4.85 |     -220 |      132 | ff24 | 0084          
107 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
108 |         272 |     257.24 |   5.74 |     -227 |      121 | ff1d | 0079          
109 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
110 |         272 |     256.33 |   6.11 |     -232 |      109 | ff18 | 006d          
111 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
112 |         273 |     256.46 |   6.45 |     -237 |       98 | ff13 | 0062          
113 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
114 |         272 |     255.88 |   6.30 |     -241 |       86 | ff0f | 0056          
115 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
116 |         273 |     256.89 |   6.27 |     -246 |       74 | ff0a | 004a          
117 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
118 |         271 |     256.60 |   5.61 |     -249 |       62 | ff07 | 003e          
119 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
120 |         269 |     255.93 |   5.11 |     -251 |       50 | ff05 | 0032          
121 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
